    0.26576E-02    0.97279E+04
    0.27113E-02    0.98902E+04
    0.27660E-02    0.10055E+05
    0.28219E-02    0.10221E+05
    0.28789E-02    0.10389E+05
    0.29371E-02    0.10560E+05
    0.29964E-02    0.10732E+05
    0.30569E-02    0.10907E+05
    0.31187E-02    0.11083E+05
    0.31817E-02    0.11262E+05
    0.32460E-02    0.11442E+05
    0.33115E-02    0.11625E+05
    0.33784E-02    0.11809E+05
    0.34467E-02    0.11995E+05
    0.35163E-02    0.12183E+05
    0.35874E-02    0.12374E+05
    0.36598E-02    0.12565E+05
    0.37338E-02    0.12759E+05
    0.38092E-02    0.12955E+05
    0.38861E-02    0.13152E+05
    0.39646E-02    0.13351E+05
    0.40447E-02    0.13552E+05
    0.41264E-02    0.13754E+05
    0.42098E-02    0.13958E+05
    0.42948E-02    0.14164E+05
    0.43816E-02    0.14371E+05
    0.44701E-02    0.14580E+05
    0.45604E-02    0.14790E+05
    0.46525E-02    0.15001E+05
    0.47465E-02    0.15213E+05
    0.48424E-02    0.15427E+05
    0.49402E-02    0.15642E+05
    0.50400E-02    0.15858E+05
    0.51419E-02    0.16076E+05
    0.52457E-02    0.16294E+05
    0.53517E-02    0.16513E+05
    0.54598E-02    0.16732E+05
    0.55701E-02    0.16953E+05
    0.56826E-02    0.17174E+05
    0.57974E-02    0.17395E+05
    0.59145E-02    0.17617E+05
    0.60340E-02    0.17839E+05
    0.61559E-02    0.18062E+05
    0.62803E-02    0.18284E+05
    0.64072E-02    0.18506E+05
    0.65366E-02    0.18729E+05
    0.66686E-02    0.18951E+05
    0.68033E-02    0.19172E+05
    0.69408E-02    0.19393E+05
    0.70810E-02    0.19613E+05
    0.72240E-02    0.19833E+05
    0.73700E-02    0.20051E+05
    0.75189E-02    0.20268E+05
    0.76708E-02    0.20484E+05
    0.78257E-02    0.20699E+05
    0.79838E-02    0.20911E+05
    0.81451E-02    0.21122E+05
    0.83096E-02    0.21331E+05
    0.84775E-02    0.21538E+05
    0.86488E-02    0.21742E+05
    0.88235E-02    0.21944E+05
    0.90017E-02    0.22143E+05
    0.91836E-02    0.22339E+05
    0.93691E-02    0.22532E+05
    0.95583E-02    0.22721E+05
